id	model	local_AUC	local_P@L	local_P@L2	local_P@L5	short_AUC	short_P@L	short_P@L2	short_P@L5	medium_AUC	medium_P@L	medium_P@L2	medium_P@L5	long_AUC	long_P@L	long_P@L2	long_P@L5	tm_score	plddt
cut0017_ptm0.913_r3	ESM-2 (Unsupervised)	0.7791069746017456	0.644444465637207	0.7910447716712952	0.8518518805503845	0.6127340793609619	0.3777777850627899	0.5820895433425903	0.8518518805503845	0.6671996712684631	0.4592592716217041	0.7014925479888916	0.8148148059844971	0.6494002342224121	0.4962962865829468	0.6716417670249939	0.7777777910232544	0.98588	93.29902962962962
cut0018_ptm0.919_r3	ESM-2 (Unsupervised)	0.7851254343986511	0.6518518328666687	0.7910447716712952	0.8888888955116272	0.6064796447753906	0.3777777850627899	0.5970149040222168	0.8148148059844971	0.658772349357605	0.4444444477558136	0.7014925479888916	0.8148148059844971	0.6421524286270142	0.4962962865829468	0.6567164063453674	0.8148148059844971	0.99525	93.88557777777778
cut0019_ptm0.919_r3	ESM-2 (Unsupervised)	0.7864655256271362	0.6592592597007751	0.7761194109916687	0.8888888955116272	0.6079500913619995	0.3703703582286834	0.5820895433425903	0.8518518805503845	0.6386513113975525	0.4148148000240326	0.641791045665741	0.8148148059844971	0.6583954691886902	0.5037037134170532	0.6865671873092651	0.8518518805503845	0.99521	93.72974814814815
cut0020_ptm0.909_r3	ESM-2 (Unsupervised)	0.7580366134643555	0.6518518328666687	0.7313432693481445	0.8518518805503845	0.5963237881660461	0.3777777850627899	0.5820895433425903	0.8148148059844971	0.6189920902252197	0.4000000059604645	0.611940324306488	0.7777777910232544	0.6455692648887634	0.4888888895511627	0.641791045665741	0.8518518805503845	0.97943	92.2317925925926
cut0021_ptm0.910_r3	ESM-2 (Unsupervised)	0.7345384359359741	0.6370370388031006	0.7164179086685181	0.8518518805503845	0.5845980644226074	0.3629629611968994	0.5671641826629639	0.7777777910232544	0.6221039891242981	0.4148148000240326	0.6268656849861145	0.7777777910232544	0.6337652802467346	0.4888888895511627	0.641791045665741	0.8148148059844971	0.98853	92.13426666666666
cut0022_ptm0.902_r3	ESM-2 (Unsupervised)	0.7313339710235596	0.6370370388031006	0.7014925479888916	0.8518518805503845	0.5808635950088501	0.3629629611968994	0.5671641826629639	0.7777777910232544	0.6059432029724121	0.392592579126358	0.5970149040222168	0.7777777910232544	0.6400137543678284	0.4888888895511627	0.641791045665741	0.8148148059844971	0.98896	91.23719259259258
cut0023_ptm0.902_r3	ESM-2 (Unsupervised)	0.734024167060852	0.6222222447395325	0.7313432693481445	0.8888888955116272	0.5768058896064758	0.3703703582286834	0.5671641826629639	0.7777777910232544	0.6010063886642456	0.385185182094574	0.611940324306488	0.7777777910232544	0.6488850712776184	0.4962962865829468	0.6716417670249939	0.8148148059844971	0.98156	91.25993333333332
cut0024_ptm0.886_r3	ESM-2 (Unsupervised)	0.7310006618499756	0.6222222447395325	0.7164179086685181	0.8518518805503845	0.5710396766662598	0.3629629611968994	0.5522388219833374	0.7407407164573669	0.6084591150283813	0.3777777850627899	0.611940324306488	0.8148148059844971	0.6479904055595398	0.4888888895511627	0.6567164063453674	0.8518518805503845	0.97693	89.73670370370371
cut0025_ptm0.892_r3	ESM-2 (Unsupervised)	0.7295782566070557	0.6074073910713196	0.7164179086685181	0.8518518805503845	0.570572018623352	0.3481481373310089	0.5373134613037109	0.7777777910232544	0.5916455388069153	0.3555555641651153	0.5820895433425903	0.8148148059844971	0.6472077369689941	0.4962962865829468	0.641791045665741	0.8888888955116272	0.96311	90.02357777777776
cut0026_ptm0.860_r3	ESM-2 (Unsupervised)	0.6984264850616455	0.6074073910713196	0.7014925479888916	0.7407407164573669	0.5733986496925354	0.3481481373310089	0.5522388219833374	0.8148148059844971	0.5842736959457397	0.3407407402992248	0.5671641826629639	0.8148148059844971	0.6477538347244263	0.4962962865829468	0.641791045665741	0.8888888955116272	0.96862	87.01594814814817
cut0027_ptm0.826_r3	ESM-2 (Unsupervised)	0.6900826096534729	0.6000000238418579	0.6865671873092651	0.8148148059844971	0.5419831871986389	0.3333333432674408	0.5074626803398132	0.7037037014961243	0.575226366519928	0.3259259164333343	0.5522388219833374	0.8148148059844971	0.6418896317481995	0.4962962865829468	0.641791045665741	0.8518518805503845	0.96077	83.46405185185186
cut0028_ptm0.798_r3	ESM-2 (Unsupervised)	0.6951889395713806	0.5777778029441833	0.6865671873092651	0.8518518805503845	0.587826669216156	0.3481481373310089	0.5522388219833374	0.8148148059844971	0.5685718655586243	0.3333333432674408	0.5373134613037109	0.8148148059844971	0.655361533164978	0.5037037134170532	0.641791045665741	0.8888888955116272	0.94297	82.00673333333333
cut0029_ptm0.804_r3	ESM-2 (Unsupervised)	0.690498411655426	0.5777778029441833	0.7014925479888916	0.8148148059844971	0.5935510396957397	0.3481481373310089	0.5522388219833374	0.8148148059844971	0.5696288347244263	0.3407407402992248	0.5373134613037109	0.8148148059844971	0.6495153307914734	0.5037037134170532	0.6567164063453674	0.8888888955116272	0.93485	81.25757037037037
cut0030_ptm0.739_r3	ESM-2 (Unsupervised)	0.7066460251808167	0.5777778029441833	0.6865671873092651	0.92592591047287	0.5629559755325317	0.3185185194015503	0.5074626803398132	0.8148148059844971	0.575133740901947	0.3407407402992248	0.5522388219833374	0.8148148059844971	0.6205472350120544	0.4666666686534881	0.611940324306488	0.8148148059844971	0.92855	75.86542962962963
cut0031_ptm0.792_r3	ESM-2 (Unsupervised)	0.6456186175346375	0.5481481552124023	0.641791045665741	0.7037037014961243	0.5593921542167664	0.3185185194015503	0.5074626803398132	0.8148148059844971	0.5650937557220459	0.3259259164333343	0.5373134613037109	0.8148148059844971	0.6365172266960144	0.4740740656852722	0.641791045665741	0.8518518805503845	0.8838	80.31347407407407
cut0032_ptm0.816_r3	ESM-2 (Unsupervised)	0.7154931426048279	0.5629629492759705	0.746268630027771	0.8888888955116272	0.5420565605163574	0.3037036955356598	0.4776119291782379	0.8148148059844971	0.571576714515686	0.3333333432674408	0.5522388219833374	0.8148148059844971	0.6528630256652832	0.4888888895511627	0.6567164063453674	0.8888888955116272	0.95291	82.45994814814816
cut0033_ptm0.826_r3	ESM-2 (Unsupervised)	0.741317868232727	0.5703703761100769	0.746268630027771	0.92592591047287	0.5570766925811768	0.3037036955356598	0.5074626803398132	0.8518518805503845	0.5642672777175903	0.3259259164333343	0.5373134613037109	0.8148148059844971	0.6521867513656616	0.4888888895511627	0.641791045665741	0.8888888955116272	0.93993	82.64351111111111
cut0034_ptm0.807_r3	ESM-2 (Unsupervised)	0.7446796894073486	0.6000000238418579	0.7313432693481445	0.8888888955116272	0.5521925091743469	0.3111111223697662	0.4776119291782379	0.8518518805503845	0.5657598376274109	0.3259259164333343	0.5522388219833374	0.8148148059844971	0.6562610268592834	0.4814814925193786	0.641791045665741	0.8518518805503845	0.9463	81.84414814814815
cut0035_ptm0.792_r3	ESM-2 (Unsupervised)	0.7591086626052856	0.614814817905426	0.7611940503120422	0.8888888955116272	0.5613819360733032	0.3185185194015503	0.5074626803398132	0.8518518805503845	0.5749596357345581	0.3333333432674408	0.5671641826629639	0.8148148059844971	0.6564352512359619	0.4888888895511627	0.6268656849861145	0.8518518805503845	0.89026	80.27891851851851
